max_depth	min_split	cp	minbucket	ganancia_promedio
6	1700	-1	500	9563333
6	1700	-1	400	9563333
6	1700	-1	300	9796667
6	1700	-0.5	500	9563333
6	1700	-0.5	400	9563333
6	1700	-0.5	300	9796667
6	1500	-1	500	9986667
6	1500	-1	400	9466667
6	1500	-1	300	9650000
6	1500	-0.5	500	9986667
6	1500	-0.5	400	9466667
6	1500	-0.5	300	9650000
6	1300	-1	500	9240000
6	1300	-1	400	8720000
6	1300	-1	300	8903333
6	1300	-0.5	500	9240000
6	1300	-0.5	400	8720000
6	1300	-0.5	300	8903333
6	1100	-1	500	9466667
6	1100	-1	400	8946667
6	1100	-1	300	9130000
6	1100	-0.5	500	9466667
6	1100	-0.5	400	8946667
6	1100	-0.5	300	9130000
6	900	-1	500	9466667
6	900	-1	400	9083333
6	900	-1	300	9130000
6	900	-0.5	500	9466667
6	900	-0.5	400	9083333
6	900	-0.5	300	9130000
7	1700	-1	500	9563333
7	1700	-1	400	9563333
7	1700	-1	300	9796667
7	1700	-0.5	500	9563333
7	1700	-0.5	400	9563333
7	1700	-0.5	300	9796667
7	1500	-1	500	9986667
7	1500	-1	400	9466667
7	1500	-1	300	9650000
7	1500	-0.5	500	9986667
7	1500	-0.5	400	9466667
7	1500	-0.5	300	9650000
7	1300	-1	500	9240000
7	1300	-1	400	8720000
7	1300	-1	300	8903333
7	1300	-0.5	500	9240000
7	1300	-0.5	400	8720000
7	1300	-0.5	300	8903333
7	1100	-1	500	8776667
7	1100	-1	400	8550000
7	1100	-1	300	8733333
7	1100	-0.5	500	8776667
7	1100	-0.5	400	8550000
7	1100	-0.5	300	8733333
7	900	-1	500	8776667
7	900	-1	400	8686667
7	900	-1	300	8733333
7	900	-0.5	500	8776667
7	900	-0.5	400	8686667
7	900	-0.5	300	8733333
