Feature	Gain	Cover	Frequency
ctrx_quarter	0.168987120964751	0.0274323702397769	0.0232849273910866
mpasivos_margen	0.069139148161987	0.0204694194408247	0.0227841762643966
cpayroll_trx	0.0674045700731011	0.0244765300930611	0.00726089133700551
mcaja_ahorro	0.0527633304555393	0.0217268126096467	0.0302954431647471
mpayroll	0.0501573343087519	0.0354104070469026	0.0177766649974962
mcuentas_saldo	0.0366035797882019	0.0362203123190186	0.0317976965448172
Visa_mpagospesos	0.035299709593219	0.0160666486270693	0.0227841762643966
Visa_msaldopesos	0.0285606342128637	0.0142552500814658	0.0202804206309464
mtarjeta_visa_consumo	0.0269822095291042	0.0136447580524382	0.014521782674011
mcuenta_corriente	0.0267336248302617	0.0143297637720378	0.0150225338007011
mactivos_margen	0.0228580188455749	0.0340683636012475	0.0255383074611918
mprestamos_personales	0.0221673700409846	0.0267806942534164	0.00951427140711067
Visa_mpagominimo	0.0215147174164434	0.0111115171864117	0.014772158237356
mrentabilidad_annual	0.0214618955870598	0.0241300457792581	0.0302954431647471
Visa_mconsumototal	0.0160824043562406	0.00555493621826616	0.00951427140711067
Master_Fvencimiento	0.0137330430580518	0.0317917471899738	0.0360540811216825
Visa_msaldototal	0.0134679757330076	0.016720396853366	0.0215322984476715
cliente_edad	0.0128001378850882	0.0266967467992189	0.0277916875312969
chomebanking_trx	0.0119503665597402	0.0185214052169119	0.0260390585878818
mcomisiones_otras	0.0116812341203513	0.0163319822860293	0.0222834251377066
mrentabilidad	0.0114666917736256	0.0129673819435127	0.0160240360540811
Master_fechaalta	0.0102682380153794	0.0195427369272707	0.0240360540811217
Visa_fechaalta	0.0102571252735494	0.0155034703280528	0.0217826740110165
cprestamos_personales	0.00968924928051844	0.00690382675042361	0.00375563345017526
ctarjeta_visa_trx	0.00935729920050751	0.0124922303682183	0.0150225338007011
mcaja_ahorro_dolares	0.00916183164948426	0.0238647411026748	0.0212819228843265
Visa_Fvencimiento	0.00912163149420299	0.0153933807700452	0.028042063094642
cliente_antiguedad	0.00907515493882623	0.0183779641888826	0.0262894341512268
numero_de_cliente	0.00868034087943135	0.0111781983896725	0.0210315473209815
mtransferencias_recibidas	0.00831931294598197	0.00835743785529948	0.0160240360540811
cproductos	0.00787886691400032	0.0123821263190224	0.0117676514772158
Visa_mconsumospesos	0.00786074751629988	0.0145574710604085	0.0212819228843265
Visa_mfinanciacion_limite	0.00762150508446904	0.013891695147769	0.0185277916875313
Visa_cconsumos	0.00686534545983837	0.0101233340694374	0.0185277916875313
ccallcenter_trx	0.0067868516503016	0.0143111281038006	0.00475713570355533
thomebanking	0.00635743056442085	0.00729943619278341	0.00676014021031547
Master_mlimitecompra	0.00576380292320805	0.0085819353454474	0.0155232849273911
mtransferencias_emitidas	0.00569073421778251	0.0108675145567248	0.013770655983976
Master_mfinanciacion_limite	0.00555735055837646	0.00889008322043128	0.0135202804206309
ctransferencias_recibidas	0.00537909062627524	0.0133589338531303	0.0107661492238358
mextraccion_autoservicio	0.00536925980717787	0.00775795912942911	0.00926389584376565
mcomisiones	0.00514170037516718	0.00722085772387513	0.0120180270405608
mcomisiones_mantenimiento	0.00498291649196673	0.00807625083626837	0.0102653980971457
mtarjeta_visa_debitos_automaticos	0.00465018293102567	0.00586130892267535	0.0105157736604907
mdescubierto_preacordado	0.00462762455392638	0.0118196508426416	0.00400600901352028
Master_msaldototal	0.00459424518964808	0.00419889428465067	0.00525788683024537
ccomisiones_mantenimiento	0.00435733190044863	0.00339138730420901	0.00550826239359039
mcuenta_debitos_automaticos	0.00430253614021164	0.0102360900061041	0.00951427140711067
ccomisiones_otras	0.00422953349776431	0.0115043805485764	0.0110165247871808
